Year,Agency,Category,Detail,Vendor,Federal
2011,ECONOMIC DEVELOPMENT,PROFESSIONAL SERVICES,OTHER PROFESSIONAL SERVICES,ACCESS INTERPRETERS LLC,624
2011,CORRECTIONS,PROFESSIONAL SERVICES,OTHER PROFESSIONAL SERVICES,ACCESS INTERPRETERS LLC,4775
2011,ELEMENTARY AND SECONDARY EDUCATION,BUILDING LEASE PAYMENTS,PARKING LEASES,ACCORP INC,4167.02
2011,OFFICE OF STATE AUDITOR,BUILDING LEASE PAYMENTS,PARKING LEASES,ACCORP INC,1345
2011,"INSURANCE, FIN INST AND PROF REGISTRATION",BUILDING LEASE PAYMENTS,PARKING LEASES,ACCORP INC,12156.02
2011,REVENUE,BUILDING LEASE PAYMENTS,PARKING LEASES,ACCORP INC,18108
2011,JUDICIARY,BUILDING LEASE PAYMENTS,PARKING LEASES,ACCORP INC,900
2011,SOCIAL SERVICES,BUILDING LEASE PAYMENTS,PARKING LEASES,ACCORP INC,88913
2011,OFFICE OF ADMINISTRATION,BUILDING LEASE PAYMENTS,PARKING LEASES,ACCORP INC,2726
2011,OFFICE OF ATTORNEY GENERAL,BUILDING LEASE PAYMENTS,PARKING LEASES,ACCORP INC,4752.5
2011,ECONOMIC DEVELOPMENT,BUILDING LEASE PAYMENTS,PARKING LEASES,ACCORP INC,612
2011,OFFICE OF GOVERNOR,BUILDING LEASE PAYMENTS,PARKING LEASES,ACCORP INC,681.5
2011,CORRECTIONS,SUPPLIES,OTHER SPECIFIC USE SUPPLIES,ADT SECURITY SERVICES INC,858.26
2011,SOCIAL SERVICES,REPAIR & MAINTENANCE SERVICES,OTHER EQUIPMENT REPAIR & MAINTENANCE,ADT SECURITY SERVICES INC,37.86
2011,ECONOMIC DEVELOPMENT,HOUSEKEEP & JANITOR SERVICES,HOUSEKEEP & JANITOR SERVICES,ADT SECURITY SERVICES INC,19.8
2011,SOCIAL SERVICES,PROFESSIONAL SERVICES,SECURITY SERVICES,ADT SECURITY SERVICES INC,1395.99
2011,ECONOMIC DEVELOPMENT,PROFESSIONAL SERVICES,SECURITY SERVICES,ADT SECURITY SERVICES INC,195.2
2011,SOCIAL SERVICES,HOUSEKEEP & JANITOR SERVICES,HOUSEKEEP & JANITOR SERVICES,ADT SECURITY SERVICES INC,132.69
2011,ECONOMIC DEVELOPMENT,PROFESSIONAL SERVICES,SECURITY SERVICES,ADT SECURITY SERVICES INC,300.58
2011,PUBLIC SAFETY,PROFESSIONAL SERVICES,SECURITY SERVICES,ADT SECURITY SERVICES INC,9.67
2011,HEALTH AND SENIOR SERVICES,HOUSEKEEP & JANITOR SERVICES,HOUSEKEEP & JANITOR SERVICES,ADT SECURITY SERVICES INC,13.45
2011,PUBLIC SAFETY,HOUSEKEEP & JANITOR SERVICES,HOUSEKEEP & JANITOR SERVICES,ADT SECURITY SERVICES INC,0.87
2011,ELEMENTARY AND SECONDARY EDUCATION,PROFESSIONAL SERVICES,SECURITY SERVICES,ADT SECURITY SERVICES INC,87.96
2011,TRANSPORTATION,PROFESSIONAL SERVICES,SECURITY SERVICES,ADT SECURITY SERVICES INC,4953.75
2011,ELEMENTARY AND SECONDARY EDUCATION,PROFESSIONAL SERVICES,SECURITY SERVICES,ADT SECURITY SERVICES INC,1843.29
2011,JUDICIARY,PROFESSIONAL SERVICES,SECURITY SERVICES,ADT SECURITY SERVICES INC,1168.95
2011,ELEMENTARY AND SECONDARY EDUCATION,BUILDING LEASE PAYMENTS,"LEASEHOLD IMPROVEMENTS, OPERATING",ADT SECURITY SERVICES INC,660
2011,JUDICIARY,PROFESSIONAL SERVICES,SECURITY SERVICES,ADT SECURITY SERVICES INC,3506.85
2011,ELEMENTARY AND SECONDARY EDUCATION,PROFESSIONAL SERVICES,SECURITY SERVICES,ADT SECURITY SERVICES INC,87.96
2011,MENTAL HEALTH,HOUSEKEEP & JANITOR SERVICES,HOUSEKEEP & JANITOR SERVICES,ADT SECURITY SERVICES INC,0.59
2011,HEALTH AND SENIOR SERVICES,REPAIR & MAINTENANCE SERVICES,OTHER EQUIPMENT REPAIR & MAINTENANCE,ADT SECURITY SERVICES INC,2.14
2011,NATURAL RESOURCES,PROFESSIONAL SERVICES,SECURITY SERVICES,ADT SECURITY SERVICES INC,726.84
2011,HEALTH AND SENIOR SERVICES,PROFESSIONAL SERVICES,SECURITY SERVICES,ADT SECURITY SERVICES INC,143.06
2011,NATURAL RESOURCES,PROFESSIONAL SERVICES,OTHER PROFESSIONAL SERVICES,ADT SECURITY SERVICES INC,132.3
2011,NATURAL RESOURCES,PROFESSIONAL SERVICES,SECURITY SERVICES,ADT SECURITY SERVICES INC,2354.25
2011,OFFICE OF ADMINISTRATION,REPAIR & MAINTENANCE SERVICES,ELECTRICAL REPAIR & MAINTENANCE SERVICES,ADT SECURITY SERVICES INC,337.84
2011,OFFICE OF ADMINISTRATION,PROFESSIONAL SERVICES,SECURITY SERVICES,ADT SECURITY SERVICES INC,583.14
2011,JUDICIARY,SUPPLIES,OTHER SPECIFIC USE SUPPLIES,ADT SECURITY SERVICES INC,80
2011,NATURAL RESOURCES,PROFESSIONAL SERVICES,OTHER PROFESSIONAL SERVICES,ADT SECURITY SERVICES INC,131.84
2011,NATURAL RESOURCES,PROFESSIONAL SERVICES,SECURITY SERVICES,ADT SECURITY SERVICES INC,3394.49
2011,MENTAL HEALTH,PROFESSIONAL SERVICES,SECURITY SERVICES,ADT SECURITY SERVICES INC,6.57
2011,TRANSPORTATION,PROFESSIONAL SERVICES,OTHER BUSINESS SERVICES,ADVANCED ELECTRIC AND,2711
2011,TRANSPORTATION,PROPERTY & IMPROVEMENTS,"MINOR REPAIR, MAINT & IMPROVEMENT SERV",ADVANCED ELECTRIC AND,670.02
2011,TRANSPORTATION,COMMUNICATION SERVICE & SUPPLIES,TELECOMMUNICATION SUPPLIES,ADVANCED ELECTRIC AND,3545.49
2011,TRANSPORTATION,COMPUTER EQUIPMENT,COMPUTER EQUIPMENT,ADVANCED ELECTRIC AND,27111.86
2011,TRANSPORTATION,REPAIR & MAINTENANCE SERVICES,ELECTRICAL REPAIR & MAINTENANCE SERVICES,ADVANCED ELECTRIC AND,73175.99
2011,TRANSPORTATION,SUPPLIES,VEHICLE REPAIR SUPPLIES,ADVANCED ELECTRIC AND,1964.17
2011,TRANSPORTATION,PROPERTY & IMPROVEMENTS,BUILDING/FACILITY CONSTRUCTION SERVICES,ADVANCED ELECTRIC AND,15103.78
2011,TRANSPORTATION,PROPERTY & IMPROVEMENTS,BUILD/FACILITY RENOVATION & REHAB SERV,ADVANCED ELECTRIC AND,50132.98
2011,TRANSPORTATION,PROPERTY & IMPROVEMENTS,OTHER PROPERTY & IMPROVEMENTS,ADVANCED ELECTRIC AND,1253.98
2011,TRANSPORTATION,SUPPLIES,ELECTRICAL SUPPLIES,ADVANCED ELECTRIC AND,2935.12
2011,TRANSPORTATION,PROFESSIONAL SERVICES,OTHER PROFESSIONAL SERVICES,ADVANCED ELECTRIC AND,42311.18
2011,OFFICE OF ADMINISTRATION,PROFESSIONAL SERVICES,MEDICAL & DENTAL SERVICES,ADVANCED PAIN CENTER,54.8
2011,ELEMENTARY AND SECONDARY EDUCATION,PROGRAM DISTRIBUTIONS,MEDICAL ASSIST SERVICES,ADVANCED PAIN CENTER,3371.23
2011,OFFICE OF ADMINISTRATION,PROFESSIONAL SERVICES,MEDICAL & DENTAL SERVICES,ADVANCED PAIN CENTER,25.06
2011,ELEMENTARY AND SECONDARY EDUCATION,PROGRAM DISTRIBUTIONS,MEDICAL ASSIST SERVICES,ADVANCED PAIN CENTER,3224.09
2011,OFFICE OF ADMINISTRATION,PROFESSIONAL SERVICES,MEDICAL & DENTAL SERVICES,ADVANCED PAIN CENTER,5143.62
2011,ELEMENTARY AND SECONDARY EDUCATION,PROGRAM DISTRIBUTIONS,MEDICAL ASSIST SERVICES,ADVANCED PAIN CENTER,5218.42
2011,SOCIAL SERVICES,MISCELLANEOUS EXPENSES,COPIES OF RECORDS,ADVANCED PAIN CENTER,1939.2
2011,ELEMENTARY AND SECONDARY EDUCATION,PROGRAM DISTRIBUTIONS,MEDICAL ASSIST SERVICES,ADVANCED PAIN CENTER,2099.06
2011,SOCIAL SERVICES,MISCELLANEOUS EXPENSES,COPIES OF RECORDS,ADVANCED PAIN CENTER,4538.63
2011,ELEMENTARY AND SECONDARY EDUCATION,PROGRAM DISTRIBUTIONS,MEDICAL ASSIST SERVICES,ADVANCED PAIN CENTER,1106.53
2011,SOCIAL SERVICES,MISCELLANEOUS EXPENSES,COPIES OF RECORDS,ADVANCED PAIN CENTER,1094.7
2011,ELEMENTARY AND SECONDARY EDUCATION,PROGRAM DISTRIBUTIONS,MEDICAL ASSIST SERVICES,ADVANCED PAIN CENTER,3947.98
2011,SOCIAL SERVICES,PROFESSIONAL SERVICES,MEDICAL & DENTAL SERVICES,ADVANCED PAIN CENTER,48.09
2011,SOCIAL SERVICES,PROFESSIONAL SERVICES,MEDICAL & DENTAL SERVICES,ADVANCED PAIN CENTER,25.06
2011,SOCIAL SERVICES,MISCELLANEOUS EXPENSES,COPIES OF RECORDS,ADVANCED PAIN CENTER,2837.53
2011,SOCIAL SERVICES,MISCELLANEOUS EXPENSES,COPIES OF RECORDS,ADVANCED PAIN CENTER,540.76
2011,SOCIAL SERVICES,MISCELLANEOUS EXPENSES,COPIES OF RECORDS,ADVANCED PAIN CENTER,677.57
2011,SOCIAL SERVICES,PROFESSIONAL SERVICES,MEDICAL & DENTAL SERVICES,ADVANCED PAIN CENTER,43.99
2011,NATURAL RESOURCES,SUPPLIES,OTHER REPAIR & MAINTENANCE SUPP,ADVANTAGE METALS RECYCLING LLC,540.56
2011,CORRECTIONS,SUPPLIES,OTHER SPECIFIC USE SUPPLIES,ADVANTAGE METALS RECYCLING LLC,1122.96
2011,NATURAL RESOURCES,SUPPLIES,BUILDING REPAIR SUPPLIES,ADVANTAGE METALS RECYCLING LLC,17.8
2011,CORRECTIONS,SUPPLIES,OTHER SPECIFIC USE SUPPLIES,ADVANTAGE METALS RECYCLING LLC,6158.72
2011,OFFICE OF ADMINISTRATION,SUPPLIES,OTHER REPAIR & MAINTENANCE SUPP,ADVANTAGE METALS RECYCLING LLC,366
2011,TRANSPORTATION,SUPPLIES,BUILDING REPAIR SUPPLIES,ADVANTAGE METALS RECYCLING LLC,321.75
2011,OFFICE OF ADMINISTRATION,SUPPLIES,OTHER REPAIR & MAINTENANCE SUPP,ADVANTAGE METALS RECYCLING LLC,2535.1
2011,TRANSPORTATION,SUPPLIES,VEHICLE REPAIR SUPPLIES,ADVANTAGE METALS RECYCLING LLC,668.47
2011,TRANSPORTATION,SUPPLIES,OTHER REPAIR & MAINTENANCE SUPP,ADVANTAGE METALS RECYCLING LLC,6231.01
2011,TRANSPORTATION,SUPPLIES,VEHICLE REPAIR SUPPLIES,ADVANTAGE METALS RECYCLING LLC,89.15
2011,TRANSPORTATION,SUPPLIES,OTHER REPAIR & MAINTENANCE SUPP,ADVANTAGE METALS RECYCLING LLC,934.8
2011,LEGISLATURE,PROFESSIONAL DEVELOPMENT,"CONVENTION, CONFERENCE & TRAINING FEES",AGA,1160
2011,PUBLIC SAFETY,PROFESSIONAL DEVELOPMENT,"CONVENTION, CONFERENCE & TRAINING FEES",AGA,695
2011,NATURAL RESOURCES,PROFESSIONAL DEVELOPMENT,"CONVENTION, CONFERENCE & TRAINING FEES",AGA,30
2011,OFFICE OF STATE AUDITOR,PROFESSIONAL DEVELOPMENT,"CONVENTION, CONFERENCE & TRAINING FEES",AGA,75
2011,JUDICIARY,PROFESSIONAL DEVELOPMENT,"CONVENTION, CONFERENCE & TRAINING FEES",AGA,450
2011,SOCIAL SERVICES,PROFESSIONAL DEVELOPMENT,ORGANIZATION MEMBERSHIPS,AGA,700
2011,LABOR AND INDUSTRIAL RELATIONS,PROFESSIONAL DEVELOPMENT,"CONVENTION, CONFERENCE & TRAINING FEES",AGA,305
2011,SOCIAL SERVICES,PROFESSIONAL DEVELOPMENT,"CONVENTION, CONFERENCE & TRAINING FEES",AGA,1300
2011,LEGISLATURE,PROFESSIONAL DEVELOPMENT,ORGANIZATION MEMBERSHIPS,AGA,170
2011,REVENUE,PROFESSIONAL DEVELOPMENT,"CONVENTION, CONFERENCE & TRAINING FEES",AGA,2270
2011,OFFICE OF ADMINISTRATION,PROFESSIONAL DEVELOPMENT,ORGANIZATION MEMBERSHIPS,AGA,90
2011,OFFICE OF SECRETARY OF STATE,PROFESSIONAL DEVELOPMENT,"CONVENTION, CONFERENCE & TRAINING FEES",AGA,670
2011,OFFICE OF ADMINISTRATION,PROFESSIONAL DEVELOPMENT,"CONVENTION, CONFERENCE & TRAINING FEES",AGA,190
2011,OFFICE OF STATE TREASURER,PROFESSIONAL DEVELOPMENT,"CONVENTION, CONFERENCE & TRAINING FEES",AGA,590
2011,HIGHER EDUCATION,PROFESSIONAL DEVELOPMENT,"CONVENTION, CONFERENCE & TRAINING FEES",AGA,550
2011,ELEMENTARY AND SECONDARY EDUCATION,PROFESSIONAL DEVELOPMENT,"CONVENTION, CONFERENCE & TRAINING FEES",AGA,1635
2011,HIGHER EDUCATION,PROFESSIONAL DEVELOPMENT,ORGANIZATION MEMBERSHIPS,AGA,45
2011,HEALTH AND SENIOR SERVICES,PROFESSIONAL DEVELOPMENT,"CONVENTION, CONFERENCE & TRAINING FEES",AGA,535
2011,"INSURANCE, FIN INST AND PROF REGISTRATION",PROFESSIONAL DEVELOPMENT,"CONVENTION, CONFERENCE & TRAINING FEES",AGA,730
2011,TRANSPORTATION,PROFESSIONAL DEVELOPMENT,"CONVENTION, CONFERENCE & TRAINING FEES",AGA,555
2011,ECONOMIC DEVELOPMENT,PROFESSIONAL DEVELOPMENT,"CONVENTION, CONFERENCE & TRAINING FEES",AGA,810
2011,ECONOMIC DEVELOPMENT,PROFESSIONAL DEVELOPMENT,ORGANIZATION MEMBERSHIPS,AGA,650
2011,CORRECTIONS,PROFESSIONAL DEVELOPMENT,"CONVENTION, CONFERENCE & TRAINING FEES",AGA,15
2011,CONSERVATION,PROFESSIONAL DEVELOPMENT,OTHER PROFESSIONAL DEVELOPMENT,AGA,10
2011,TRANSPORTATION,SUPPLIES,VEHICLE REPAIR SUPPLIES,AHRENS STEEL & WELD SUP INC,869.19
2011,OFFICE OF ADMINISTRATION,SUPPLIES,OTHER REPAIR & MAINTENANCE SUPP,AHRENS STEEL & WELD SUP INC,6485.19
2011,TRANSPORTATION,SUPPLIES,OTHER REPAIR & MAINTENANCE SUPP,AHRENS STEEL & WELD SUP INC,9905.94
2011,OFFICE OF ADMINISTRATION,SUPPLIES,MECHANICAL SUPPLIES,AHRENS STEEL & WELD SUP INC,481
2011,TRANSPORTATION,OTHER EQUIPMENT,OTHER EQUIPMENT,AHRENS STEEL & WELD SUP INC,894.32
2011,OFFICE OF ADMINISTRATION,SUPPLIES,BUILDING REPAIR SUPPLIES,AHRENS STEEL & WELD SUP INC,222.85
2011,TRANSPORTATION,PROPERTY & IMPROVEMENTS,OTHER PROPERTY & IMPROVEMENTS,AHRENS STEEL & WELD SUP INC,1260
2011,SOCIAL SERVICES,SUPPLIES,EDUCATION SUPPLIES,AHRENS STEEL & WELD SUP INC,409.73
2011,TRANSPORTATION,SUPPLIES,UNIFORMS & CLOTHING,AHRENS STEEL & WELD SUP INC,5.59
2011,NATURAL RESOURCES,PROPERTY & IMPROVEMENTS,SITE IMPROVEMENTS,AHRENS STEEL & WELD SUP INC,114.81
2011,TRANSPORTATION,REPAIR & MAINTENANCE SERVICES,SPECIFIC USE EQUIP  REPAIR & MAINTENANCE,AHRENS STEEL & WELD SUP INC,25
2011,MENTAL HEALTH,PROPERTY & IMPROVEMENTS,MAJOR BUILDING/FACILITY REPAIR SERVICES,AHRENS STEEL & WELD SUP INC,369.39
2011,CORRECTIONS,SUPPLIES,OTHER SPECIFIC USE SUPPLIES,AHRENS STEEL & WELD SUP INC,822.86
2011,MENTAL HEALTH,SUPPLIES,OTHER REPAIR & MAINTENANCE SUPP,AHRENS STEEL & WELD SUP INC,1503.78
2011,CONSERVATION,SUPPLIES,OTHER SPECIFIC USE SUPPLIES,AHRENS STEEL & WELD SUP INC,4599.56
2011,MENTAL HEALTH,SUPPLIES,BUILDING REPAIR SUPPLIES,AHRENS STEEL & WELD SUP INC,837.01
2011,CORRECTIONS,SUPPLIES,BUILDING REPAIR SUPPLIES,AHRENS STEEL & WELD SUP INC,335.04
2011,ELEMENTARY AND SECONDARY EDUCATION,SUPPLIES,EDUCATION SUPPLIES,AHRENS STEEL & WELD SUP INC,904
2011,CORRECTIONS,SUPPLIES,OTHER REPAIR & MAINTENANCE SUPP,AHRENS STEEL & WELD SUP INC,3379.38
2011,TRANSPORTATION,SUPPLIES,OTHER REPAIR & MAINTENANCE SUPP,AIRGAS-MID AMERICA INC,189
2011,AGRICULTURE,SUPPLIES,LABORATORY SUPPLIES,AIRGAS-MID AMERICA INC,1710.81
2011,TRANSPORTATION,OTHER EQUIPMENT,OTHER EQUIPMENT,AIRGAS-MID AMERICA INC,89.68
2011,AGRICULTURE,SUPPLIES,LABORATORY SUPPLIES,AIRGAS-MID AMERICA INC,290.02
2011,TRANSPORTATION,SUPPLIES,BUILDING REPAIR SUPPLIES,AIRGAS-MID AMERICA INC,63.89
2011,CONSERVATION,SUPPLIES,BUILDING REPAIR SUPPLIES,AIRGAS-MID AMERICA INC,42.11
2011,TRANSPORTATION,SUPPLIES,OTHER REPAIR & MAINTENANCE SUPP,AIRGAS-MID AMERICA INC,13464.1
2011,CONSERVATION,SUPPLIES,OTHER SPECIFIC USE SUPPLIES,AIRGAS-MID AMERICA INC,724.41
2011,TRANSPORTATION,SUPPLIES,OTHER SPECIFIC USE SUPPLIES,AIRGAS-MID AMERICA INC,12543.63
2011,CORRECTIONS,EQUIPMENT RENTAL & LEASES,OTHER EQUIPMENT RENTALS,AIRGAS-MID AMERICA INC,33.94
2011,TRANSPORTATION,EQUIPMENT RENTAL & LEASES,OTHER EQUIPMENT RENTALS,AIRGAS-MID AMERICA INC,2655.54
2011,CONSERVATION,EQUIPMENT RENTAL & LEASES,OTHER EQUIPMENT RENTALS,AIRGAS-MID AMERICA INC,21.86
2011,TRANSPORTATION,REPAIR & MAINTENANCE SERVICES,SPECIFIC USE EQUIP  REPAIR & MAINTENANCE,AIRGAS-MID AMERICA INC,223.14
2011,CONSERVATION,OTHER EQUIPMENT,TOOLS & SHOP EQUIPMENT,AIRGAS-MID AMERICA INC,1750
2011,TRANSPORTATION,SUPPLIES,UNIFORMS & CLOTHING,AIRGAS-MID AMERICA INC,477.03
2011,NATURAL RESOURCES,MISCELLANEOUS EXPENSES,REBILLABLE LAB EXPENSES,AIRGAS-MID AMERICA INC,229.91
2011,TRANSPORTATION,SUPPLIES,OTHER SPECIFIC USE SUPPLIES,AIRGAS-MID AMERICA INC,173.96
2011,MENTAL HEALTH,SUPPLIES,OTHER REPAIR & MAINTENANCE SUPP,AIRGAS-MID AMERICA INC,22.19
2011,TRANSPORTATION,OTHER EQUIPMENT,TOOLS & SHOP EQUIPMENT,AIRGAS-MID AMERICA INC,4851.18
2011,NATURAL RESOURCES,SUPPLIES,LABORATORY SUPPLIES,AIRGAS-MID AMERICA INC,20.94
2011,TRANSPORTATION,EQUIPMENT RENTAL & LEASES,OTHER EQUIPMENT RENTALS,AIRGAS-MID AMERICA INC,762.18
2011,OFFICE OF ADMINISTRATION,OTHER EQUIPMENT,OTHER EQUIPMENT,AIRGAS-MID AMERICA INC,193.54
2011,PUBLIC SAFETY,SUPPLIES,ELECTRICAL SUPPLIES,AIRGAS-MID AMERICA INC,88.98
2011,NATURAL RESOURCES,SUPPLIES,UNIFORMS & CLOTHING,AIRGAS-MID AMERICA INC,145
2011,OFFICE OF ADMINISTRATION,SUPPLIES,OTHER SPECIFIC USE SUPPLIES,AIRGAS-MID AMERICA INC,1242.29
2011,NATURAL RESOURCES,PROPERTY & IMPROVEMENTS,SITE IMPROVEMENTS,AIRGAS-MID AMERICA INC,602.39
2011,PUBLIC SAFETY,SUPPLIES,OTHER SPECIFIC USE SUPPLIES,AIRGAS-MID AMERICA INC,58
2011,MENTAL HEALTH,SUPPLIES,MEDICAL & DENTAL SUPPLIES,AIRGAS-MID AMERICA INC,3075.19
2011,PUBLIC SAFETY,OTHER EQUIPMENT,OTHER EQUIPMENT,AIRGAS-MID AMERICA INC,936.95
