Year	Agency	Category	Detail	Vendor	Payments	Counts	TotalP
2011	ELEMENTARY AND SECONDARY EDUCATION	PROFESSIONAL SERVICES	OTHER PROFESSIONAL SERVICES	ACCESS INTERPRETERS LLC	29648.25	17	196711.60
2011	OFFICE OF ADMINISTRATION	PROFESSIONAL SERVICES	OTHER PROFESSIONAL SERVICES	ACCESS INTERPRETERS LLC	88.00	17	196711.60
2011	ELEMENTARY AND SECONDARY EDUCATION	PROGRAM DISTRIBUTIONS	CLIENT ASSISTANCE SERVICES	ACCESS INTERPRETERS LLC	30195.25	17	196711.60
2011	LEGISLATURE	PROFESSIONAL SERVICES	OTHER PROFESSIONAL SERVICES	ACCESS INTERPRETERS LLC	76.00	17	196711.60
2011	OFFICE OF GOVERNOR	SUPPLIES	PUBLICATIONS & SUBSCRIPTIONS	ACCESS INTERPRETERS LLC	135.00	17	196711.60
2011	MENTAL HEALTH	PROFESSIONAL SERVICES	OTHER PROFESSIONAL SERVICES	ACCESS INTERPRETERS LLC	115313.58	17	196711.60
2011	SOCIAL SERVICES	PROFESSIONAL SERVICES	MEDICAL & DENTAL SERVICES	ACCESS INTERPRETERS LLC	164.00	17	196711.60
2011	JUDICIARY	PROFESSIONAL SERVICES	OTHER PROFESSIONAL SERVICES	ACCESS INTERPRETERS LLC	382.00	17	196711.60
2011	SOCIAL SERVICES	PROFESSIONAL SERVICES	OTHER PROFESSIONAL SERVICES	ACCESS INTERPRETERS LLC	156.00	17	196711.60
2011	LABOR AND INDUSTRIAL RELATIONS	PROFESSIONAL SERVICES	OTHER PROFESSIONAL SERVICES	ACCESS INTERPRETERS LLC	80.00	17	196711.60
2011	TRANSPORTATION	PROFESSIONAL SERVICES	OTHER PROFESSIONAL SERVICES	ACCESS INTERPRETERS LLC	2546.00	17	196711.60
2011	JUDICIARY	PROFESSIONAL SERVICES	PROFESSIONAL COURT SERVICES	ACCESS INTERPRETERS LLC	4110.00	17	196711.60
2011	ECONOMIC DEVELOPMENT	PROFESSIONAL SERVICES	OTHER PROFESSIONAL SERVICES	ACCESS INTERPRETERS LLC	624.00	17	196711.60
2011	CORRECTIONS	PROFESSIONAL SERVICES	OTHER PROFESSIONAL SERVICES	ACCESS INTERPRETERS LLC	4775.00	17	196711.60
2011	ELEMENTARY AND SECONDARY EDUCATION	BUILDING LEASE PAYMENTS	PARKING LEASES	ACCORP INC	4167.02	10	134361.04
2011	OFFICE OF STATE AUDITOR	BUILDING LEASE PAYMENTS	PARKING LEASES	ACCORP INC	1345.00	10	134361.04
2011	INSURANCE, FIN INST AND PROF REGISTRATION	BUILDING LEASE PAYMENTS	PARKING LEASES	ACCORP INC	12156.02	10	134361.04
2011	REVENUE	BUILDING LEASE PAYMENTS	PARKING LEASES	ACCORP INC	18108.00	10	134361.04
2011	JUDICIARY	BUILDING LEASE PAYMENTS	PARKING LEASES	ACCORP INC	900.00	10	134361.04
2011	SOCIAL SERVICES	BUILDING LEASE PAYMENTS	PARKING LEASES	ACCORP INC	88913.00	10	134361.04
2011	OFFICE OF ADMINISTRATION	BUILDING LEASE PAYMENTS	PARKING LEASES	ACCORP INC	2726.00	10	134361.04
2011	OFFICE OF ATTORNEY GENERAL	BUILDING LEASE PAYMENTS	PARKING LEASES	ACCORP INC	4752.50	10	134361.04
2011	ECONOMIC DEVELOPMENT	BUILDING LEASE PAYMENTS	PARKING LEASES	ACCORP INC	612.00	10	134361.04
2011	OFFICE OF GOVERNOR	BUILDING LEASE PAYMENTS	PARKING LEASES	ACCORP INC	681.50	10	134361.04
2011	CORRECTIONS	SUPPLIES	OTHER SPECIFIC USE SUPPLIES	ADT SECURITY SERVICES INC	858.26	29	23166.19
2011	SOCIAL SERVICES	REPAIR & MAINTENANCE SERVICES	OTHER EQUIPMENT REPAIR & MAINTENANCE	ADT SECURITY SERVICES INC	37.86	29	23166.19
2011	ECONOMIC DEVELOPMENT	HOUSEKEEP & JANITOR SERVICES	HOUSEKEEP & JANITOR SERVICES	ADT SECURITY SERVICES INC	19.80	29	23166.19
2011	SOCIAL SERVICES	PROFESSIONAL SERVICES	SECURITY SERVICES	ADT SECURITY SERVICES INC	1395.99	29	23166.19
2011	ECONOMIC DEVELOPMENT	PROFESSIONAL SERVICES	SECURITY SERVICES	ADT SECURITY SERVICES INC	195.20	29	23166.19
2011	SOCIAL SERVICES	HOUSEKEEP & JANITOR SERVICES	HOUSEKEEP & JANITOR SERVICES	ADT SECURITY SERVICES INC	132.69	29	23166.19
2011	ECONOMIC DEVELOPMENT	PROFESSIONAL SERVICES	SECURITY SERVICES	ADT SECURITY SERVICES INC	300.58	29	23166.19
2011	PUBLIC SAFETY	PROFESSIONAL SERVICES	SECURITY SERVICES	ADT SECURITY SERVICES INC	9.67	29	23166.19
2011	HEALTH AND SENIOR SERVICES	HOUSEKEEP & JANITOR SERVICES	HOUSEKEEP & JANITOR SERVICES	ADT SECURITY SERVICES INC	13.45	29	23166.19
2011	PUBLIC SAFETY	HOUSEKEEP & JANITOR SERVICES	HOUSEKEEP & JANITOR SERVICES	ADT SECURITY SERVICES INC	0.87	29	23166.19
2011	ELEMENTARY AND SECONDARY EDUCATION	PROFESSIONAL SERVICES	SECURITY SERVICES	ADT SECURITY SERVICES INC	87.96	29	23166.19
2011	TRANSPORTATION	PROFESSIONAL SERVICES	SECURITY SERVICES	ADT SECURITY SERVICES INC	4953.75	29	23166.19
2011	ELEMENTARY AND SECONDARY EDUCATION	PROFESSIONAL SERVICES	SECURITY SERVICES	ADT SECURITY SERVICES INC	1843.29	29	23166.19
2011	JUDICIARY	PROFESSIONAL SERVICES	SECURITY SERVICES	ADT SECURITY SERVICES INC	1168.95	29	23166.19
2011	ELEMENTARY AND SECONDARY EDUCATION	BUILDING LEASE PAYMENTS	LEASEHOLD IMPROVEMENTS, OPERATING	ADT SECURITY SERVICES INC	660.00	29	23166.19
2011	JUDICIARY	PROFESSIONAL SERVICES	SECURITY SERVICES	ADT SECURITY SERVICES INC	3506.85	29	23166.19
2011	ELEMENTARY AND SECONDARY EDUCATION	PROFESSIONAL SERVICES	SECURITY SERVICES	ADT SECURITY SERVICES INC	87.96	29	23166.19
2011	MENTAL HEALTH	HOUSEKEEP & JANITOR SERVICES	HOUSEKEEP & JANITOR SERVICES	ADT SECURITY SERVICES INC	0.59	29	23166.19
2011	HEALTH AND SENIOR SERVICES	REPAIR & MAINTENANCE SERVICES	OTHER EQUIPMENT REPAIR & MAINTENANCE	ADT SECURITY SERVICES INC	2.14	29	23166.19
2011	NATURAL RESOURCES	PROFESSIONAL SERVICES	SECURITY SERVICES	ADT SECURITY SERVICES INC	726.84	29	23166.19
2011	HEALTH AND SENIOR SERVICES	PROFESSIONAL SERVICES	SECURITY SERVICES	ADT SECURITY SERVICES INC	143.06	29	23166.19
2011	NATURAL RESOURCES	PROFESSIONAL SERVICES	OTHER PROFESSIONAL SERVICES	ADT SECURITY SERVICES INC	132.30	29	23166.19
2011	NATURAL RESOURCES	PROFESSIONAL SERVICES	SECURITY SERVICES	ADT SECURITY SERVICES INC	2354.25	29	23166.19
2011	OFFICE OF ADMINISTRATION	REPAIR & MAINTENANCE SERVICES	ELECTRICAL REPAIR & MAINTENANCE SERVICES	ADT SECURITY SERVICES INC	337.84	29	23166.19
2011	OFFICE OF ADMINISTRATION	PROFESSIONAL SERVICES	SECURITY SERVICES	ADT SECURITY SERVICES INC	583.14	29	23166.19
2011	JUDICIARY	SUPPLIES	OTHER SPECIFIC USE SUPPLIES	ADT SECURITY SERVICES INC	80.00	29	23166.19
2011	NATURAL RESOURCES	PROFESSIONAL SERVICES	OTHER PROFESSIONAL SERVICES	ADT SECURITY SERVICES INC	131.84	29	23166.19
2011	NATURAL RESOURCES	PROFESSIONAL SERVICES	SECURITY SERVICES	ADT SECURITY SERVICES INC	3394.49	29	23166.19
2011	MENTAL HEALTH	PROFESSIONAL SERVICES	SECURITY SERVICES	ADT SECURITY SERVICES INC	6.57	29	23166.19
2011	TRANSPORTATION	PROFESSIONAL SERVICES	OTHER BUSINESS SERVICES	ADVANCED ELECTRIC AND	2711.00	11	220915.57
2011	TRANSPORTATION	PROPERTY & IMPROVEMENTS	MINOR REPAIR, MAINT & IMPROVEMENT SERV	ADVANCED ELECTRIC AND	670.02	11	220915.57
2011	TRANSPORTATION	COMMUNICATION SERVICE & SUPPLIES	TELECOMMUNICATION SUPPLIES	ADVANCED ELECTRIC AND	3545.49	11	220915.57
2011	TRANSPORTATION	COMPUTER EQUIPMENT	COMPUTER EQUIPMENT	ADVANCED ELECTRIC AND	27111.86	11	220915.57
2011	TRANSPORTATION	REPAIR & MAINTENANCE SERVICES	ELECTRICAL REPAIR & MAINTENANCE SERVICES	ADVANCED ELECTRIC AND	73175.99	11	220915.57
2011	TRANSPORTATION	SUPPLIES	VEHICLE REPAIR SUPPLIES	ADVANCED ELECTRIC AND	1964.17	11	220915.57
2011	TRANSPORTATION	PROPERTY & IMPROVEMENTS	BUILDING/FACILITY CONSTRUCTION SERVICES	ADVANCED ELECTRIC AND	15103.78	11	220915.57
2011	TRANSPORTATION	PROPERTY & IMPROVEMENTS	BUILD/FACILITY RENOVATION & REHAB SERV	ADVANCED ELECTRIC AND	50132.98	11	220915.57
2011	TRANSPORTATION	PROPERTY & IMPROVEMENTS	OTHER PROPERTY & IMPROVEMENTS	ADVANCED ELECTRIC AND	1253.98	11	220915.57
2011	TRANSPORTATION	SUPPLIES	ELECTRICAL SUPPLIES	ADVANCED ELECTRIC AND	2935.12	11	220915.57
2011	TRANSPORTATION	PROFESSIONAL SERVICES	OTHER PROFESSIONAL SERVICES	ADVANCED ELECTRIC AND	42311.18	11	220915.57
2011	OFFICE OF ADMINISTRATION	PROFESSIONAL SERVICES	MEDICAL & DENTAL SERVICES	ADVANCED PAIN CENTER	54.80	18	35936.32
2011	ELEMENTARY AND SECONDARY EDUCATION	PROGRAM DISTRIBUTIONS	MEDICAL ASSIST SERVICES	ADVANCED PAIN CENTER	3371.23	18	35936.32
2011	OFFICE OF ADMINISTRATION	PROFESSIONAL SERVICES	MEDICAL & DENTAL SERVICES	ADVANCED PAIN CENTER	25.06	18	35936.32
2011	ELEMENTARY AND SECONDARY EDUCATION	PROGRAM DISTRIBUTIONS	MEDICAL ASSIST SERVICES	ADVANCED PAIN CENTER	3224.09	18	35936.32
2011	OFFICE OF ADMINISTRATION	PROFESSIONAL SERVICES	MEDICAL & DENTAL SERVICES	ADVANCED PAIN CENTER	5143.62	18	35936.32
2011	ELEMENTARY AND SECONDARY EDUCATION	PROGRAM DISTRIBUTIONS	MEDICAL ASSIST SERVICES	ADVANCED PAIN CENTER	5218.42	18	35936.32
2011	SOCIAL SERVICES	MISCELLANEOUS EXPENSES	COPIES OF RECORDS	ADVANCED PAIN CENTER	1939.20	18	35936.32
2011	ELEMENTARY AND SECONDARY EDUCATION	PROGRAM DISTRIBUTIONS	MEDICAL ASSIST SERVICES	ADVANCED PAIN CENTER	2099.06	18	35936.32
2011	SOCIAL SERVICES	MISCELLANEOUS EXPENSES	COPIES OF RECORDS	ADVANCED PAIN CENTER	4538.63	18	35936.32
2011	ELEMENTARY AND SECONDARY EDUCATION	PROGRAM DISTRIBUTIONS	MEDICAL ASSIST SERVICES	ADVANCED PAIN CENTER	1106.53	18	35936.32
2011	SOCIAL SERVICES	MISCELLANEOUS EXPENSES	COPIES OF RECORDS	ADVANCED PAIN CENTER	1094.70	18	35936.32
2011	ELEMENTARY AND SECONDARY EDUCATION	PROGRAM DISTRIBUTIONS	MEDICAL ASSIST SERVICES	ADVANCED PAIN CENTER	3947.98	18	35936.32
2011	SOCIAL SERVICES	PROFESSIONAL SERVICES	MEDICAL & DENTAL SERVICES	ADVANCED PAIN CENTER	48.09	18	35936.32
2011	SOCIAL SERVICES	PROFESSIONAL SERVICES	MEDICAL & DENTAL SERVICES	ADVANCED PAIN CENTER	25.06	18	35936.32
2011	SOCIAL SERVICES	MISCELLANEOUS EXPENSES	COPIES OF RECORDS	ADVANCED PAIN CENTER	2837.53	18	35936.32
2011	SOCIAL SERVICES	MISCELLANEOUS EXPENSES	COPIES OF RECORDS	ADVANCED PAIN CENTER	540.76	18	35936.32
2011	SOCIAL SERVICES	MISCELLANEOUS EXPENSES	COPIES OF RECORDS	ADVANCED PAIN CENTER	677.57	18	35936.32
2011	SOCIAL SERVICES	PROFESSIONAL SERVICES	MEDICAL & DENTAL SERVICES	ADVANCED PAIN CENTER	43.99	18	35936.32
2011	NATURAL RESOURCES	SUPPLIES	OTHER REPAIR & MAINTENANCE SUPP	ADVANTAGE METALS RECYCLING LLC	540.56	11	18986.32
2011	CORRECTIONS	SUPPLIES	OTHER SPECIFIC USE SUPPLIES	ADVANTAGE METALS RECYCLING LLC	1122.96	11	18986.32
2011	NATURAL RESOURCES	SUPPLIES	BUILDING REPAIR SUPPLIES	ADVANTAGE METALS RECYCLING LLC	17.80	11	18986.32
2011	CORRECTIONS	SUPPLIES	OTHER SPECIFIC USE SUPPLIES	ADVANTAGE METALS RECYCLING LLC	6158.72	11	18986.32
2011	OFFICE OF ADMINISTRATION	SUPPLIES	OTHER REPAIR & MAINTENANCE SUPP	ADVANTAGE METALS RECYCLING LLC	366.00	11	18986.32
2011	TRANSPORTATION	SUPPLIES	BUILDING REPAIR SUPPLIES	ADVANTAGE METALS RECYCLING LLC	321.75	11	18986.32
2011	OFFICE OF ADMINISTRATION	SUPPLIES	OTHER REPAIR & MAINTENANCE SUPP	ADVANTAGE METALS RECYCLING LLC	2535.10	11	18986.32
2011	TRANSPORTATION	SUPPLIES	VEHICLE REPAIR SUPPLIES	ADVANTAGE METALS RECYCLING LLC	668.47	11	18986.32
2011	TRANSPORTATION	SUPPLIES	OTHER REPAIR & MAINTENANCE SUPP	ADVANTAGE METALS RECYCLING LLC	6231.01	11	18986.32
2011	TRANSPORTATION	SUPPLIES	VEHICLE REPAIR SUPPLIES	ADVANTAGE METALS RECYCLING LLC	89.15	11	18986.32
2011	TRANSPORTATION	SUPPLIES	OTHER REPAIR & MAINTENANCE SUPP	ADVANTAGE METALS RECYCLING LLC	934.80	11	18986.32
2011	LEGISLATURE	PROFESSIONAL DEVELOPMENT	CONVENTION, CONFERENCE & TRAINING FEES	AGA	1160.00	24	14230.00
2011	PUBLIC SAFETY	PROFESSIONAL DEVELOPMENT	CONVENTION, CONFERENCE & TRAINING FEES	AGA	695.00	24	14230.00
2011	NATURAL RESOURCES	PROFESSIONAL DEVELOPMENT	CONVENTION, CONFERENCE & TRAINING FEES	AGA	30.00	24	14230.00
2011	OFFICE OF STATE AUDITOR	PROFESSIONAL DEVELOPMENT	CONVENTION, CONFERENCE & TRAINING FEES	AGA	75.00	24	14230.00
2011	JUDICIARY	PROFESSIONAL DEVELOPMENT	CONVENTION, CONFERENCE & TRAINING FEES	AGA	450.00	24	14230.00
2011	SOCIAL SERVICES	PROFESSIONAL DEVELOPMENT	ORGANIZATION MEMBERSHIPS	AGA	700.00	24	14230.00
2011	LABOR AND INDUSTRIAL RELATIONS	PROFESSIONAL DEVELOPMENT	CONVENTION, CONFERENCE & TRAINING FEES	AGA	305.00	24	14230.00
2011	SOCIAL SERVICES	PROFESSIONAL DEVELOPMENT	CONVENTION, CONFERENCE & TRAINING FEES	AGA	1300.00	24	14230.00
2011	LEGISLATURE	PROFESSIONAL DEVELOPMENT	ORGANIZATION MEMBERSHIPS	AGA	170.00	24	14230.00
2011	REVENUE	PROFESSIONAL DEVELOPMENT	CONVENTION, CONFERENCE & TRAINING FEES	AGA	2270.00	24	14230.00
2011	OFFICE OF ADMINISTRATION	PROFESSIONAL DEVELOPMENT	ORGANIZATION MEMBERSHIPS	AGA	90.00	24	14230.00
2011	OFFICE OF SECRETARY OF STATE	PROFESSIONAL DEVELOPMENT	CONVENTION, CONFERENCE & TRAINING FEES	AGA	670.00	24	14230.00
2011	OFFICE OF ADMINISTRATION	PROFESSIONAL DEVELOPMENT	CONVENTION, CONFERENCE & TRAINING FEES	AGA	190.00	24	14230.00
2011	OFFICE OF STATE TREASURER	PROFESSIONAL DEVELOPMENT	CONVENTION, CONFERENCE & TRAINING FEES	AGA	590.00	24	14230.00
2011	HIGHER EDUCATION	PROFESSIONAL DEVELOPMENT	CONVENTION, CONFERENCE & TRAINING FEES	AGA	550.00	24	14230.00
2011	ELEMENTARY AND SECONDARY EDUCATION	PROFESSIONAL DEVELOPMENT	CONVENTION, CONFERENCE & TRAINING FEES	AGA	1635.00	24	14230.00
2011	HIGHER EDUCATION	PROFESSIONAL DEVELOPMENT	ORGANIZATION MEMBERSHIPS	AGA	45.00	24	14230.00
2011	HEALTH AND SENIOR SERVICES	PROFESSIONAL DEVELOPMENT	CONVENTION, CONFERENCE & TRAINING FEES	AGA	535.00	24	14230.00
2011	INSURANCE, FIN INST AND PROF REGISTRATION	PROFESSIONAL DEVELOPMENT	CONVENTION, CONFERENCE & TRAINING FEES	AGA	730.00	24	14230.00
2011	TRANSPORTATION	PROFESSIONAL DEVELOPMENT	CONVENTION, CONFERENCE & TRAINING FEES	AGA	555.00	24	14230.00
2011	ECONOMIC DEVELOPMENT	PROFESSIONAL DEVELOPMENT	CONVENTION, CONFERENCE & TRAINING FEES	AGA	810.00	24	14230.00
2011	ECONOMIC DEVELOPMENT	PROFESSIONAL DEVELOPMENT	ORGANIZATION MEMBERSHIPS	AGA	650.00	24	14230.00
2011	CORRECTIONS	PROFESSIONAL DEVELOPMENT	CONVENTION, CONFERENCE & TRAINING FEES	AGA	15.00	24	14230.00
2011	CONSERVATION	PROFESSIONAL DEVELOPMENT	OTHER PROFESSIONAL DEVELOPMENT	AGA	10.00	24	14230.00
2011	TRANSPORTATION	SUPPLIES	VEHICLE REPAIR SUPPLIES	AHRENS STEEL & WELD SUP INC	869.19	19	33424.64
2011	OFFICE OF ADMINISTRATION	SUPPLIES	OTHER REPAIR & MAINTENANCE SUPP	AHRENS STEEL & WELD SUP INC	6485.19	19	33424.64
2011	TRANSPORTATION	SUPPLIES	OTHER REPAIR & MAINTENANCE SUPP	AHRENS STEEL & WELD SUP INC	9905.94	19	33424.64
2011	OFFICE OF ADMINISTRATION	SUPPLIES	MECHANICAL SUPPLIES	AHRENS STEEL & WELD SUP INC	481.00	19	33424.64
2011	TRANSPORTATION	OTHER EQUIPMENT	OTHER EQUIPMENT	AHRENS STEEL & WELD SUP INC	894.32	19	33424.64
2011	OFFICE OF ADMINISTRATION	SUPPLIES	BUILDING REPAIR SUPPLIES	AHRENS STEEL & WELD SUP INC	222.85	19	33424.64
2011	TRANSPORTATION	PROPERTY & IMPROVEMENTS	OTHER PROPERTY & IMPROVEMENTS	AHRENS STEEL & WELD SUP INC	1260.00	19	33424.64
2011	SOCIAL SERVICES	SUPPLIES	EDUCATION SUPPLIES	AHRENS STEEL & WELD SUP INC	409.73	19	33424.64
2011	TRANSPORTATION	SUPPLIES	UNIFORMS & CLOTHING	AHRENS STEEL & WELD SUP INC	5.59	19	33424.64
2011	NATURAL RESOURCES	PROPERTY & IMPROVEMENTS	SITE IMPROVEMENTS	AHRENS STEEL & WELD SUP INC	114.81	19	33424.64
2011	TRANSPORTATION	REPAIR & MAINTENANCE SERVICES	SPECIFIC USE EQUIP  REPAIR & MAINTENANCE	AHRENS STEEL & WELD SUP INC	25.00	19	33424.64
2011	MENTAL HEALTH	PROPERTY & IMPROVEMENTS	MAJOR BUILDING/FACILITY REPAIR SERVICES	AHRENS STEEL & WELD SUP INC	369.39	19	33424.64
2011	CORRECTIONS	SUPPLIES	OTHER SPECIFIC USE SUPPLIES	AHRENS STEEL & WELD SUP INC	822.86	19	33424.64
2011	MENTAL HEALTH	SUPPLIES	OTHER REPAIR & MAINTENANCE SUPP	AHRENS STEEL & WELD SUP INC	1503.78	19	33424.64
2011	CONSERVATION	SUPPLIES	OTHER SPECIFIC USE SUPPLIES	AHRENS STEEL & WELD SUP INC	4599.56	19	33424.64
2011	MENTAL HEALTH	SUPPLIES	BUILDING REPAIR SUPPLIES	AHRENS STEEL & WELD SUP INC	837.01	19	33424.64
2011	CORRECTIONS	SUPPLIES	BUILDING REPAIR SUPPLIES	AHRENS STEEL & WELD SUP INC	335.04	19	33424.64
2011	ELEMENTARY AND SECONDARY EDUCATION	SUPPLIES	EDUCATION SUPPLIES	AHRENS STEEL & WELD SUP INC	904.00	19	33424.64
2011	CORRECTIONS	SUPPLIES	OTHER REPAIR & MAINTENANCE SUPP	AHRENS STEEL & WELD SUP INC	3379.38	19	33424.64
2011	TRANSPORTATION	SUPPLIES	OTHER REPAIR & MAINTENANCE SUPP	AIRGAS-MID AMERICA INC	189.00	45	70965.48
2011	AGRICULTURE	SUPPLIES	LABORATORY SUPPLIES	AIRGAS-MID AMERICA INC	1710.81	45	70965.48
2011	TRANSPORTATION	OTHER EQUIPMENT	OTHER EQUIPMENT	AIRGAS-MID AMERICA INC	89.68	45	70965.48
2011	AGRICULTURE	SUPPLIES	LABORATORY SUPPLIES	AIRGAS-MID AMERICA INC	290.02	45	70965.48
2011	TRANSPORTATION	SUPPLIES	BUILDING REPAIR SUPPLIES	AIRGAS-MID AMERICA INC	63.89	45	70965.48
2011	CONSERVATION	SUPPLIES	BUILDING REPAIR SUPPLIES	AIRGAS-MID AMERICA INC	42.11	45	70965.48
